Trick;The Carrots Hat Trick;3;The Hat;Carrots;;;;;;
Trick;The Rabbit That Didn’t Like Carrots;4;The Rabbit;The Lettuce;The Other Rabbit;The Lettuce;;;;
Trick;The Hungry Rabbit;1;The Rabbit;Carrots;The Rabbit;The Lettuce;The Other Rabbit;Carrots;The Other Rabbit;The Lettuce
Trick;The Slightly Easier Hat Trick;4;The Hat;The Rabbit;The Hat;The Other Rabbit;;;;
Trick;The Pair of Rabbits;5;The Rabbit;The Other Rabbit;;;;;;
Trick;The Bunch of Carrots;2;Carrots;Carrots;;;;;;
Trick;The Hat Trick;5;The Hat;The Rabbit;;;;;;
Trick;The Vegetable Hat Trick;2;The Hat;Carrots;The Hat;The Lettuce;;;;
Trick;The Vegetable Patch;3;Carrots;The Lettuce;;;;;;
Trick;The Other Hat Trick;6;The Hat;The Other Rabbit;;;;;;
Prop;The Lettuce;;;;;;;;;
Prop;Carrots;;;;;;;;;
Prop;Carrots;;;;;;;;;
Prop;Carrots;;;;;;;;;
Prop;The Hat;;;;;;;;;
Prop;The Rabbit;;;;;;;;;
Prop;The Other Rabbit;;;;;;;;;
